	nn	opentime	price	volume	numtrade	minper	maxper	RSI	MA2_1_perc	MA2_2_perc	MA1d30_perc	Lev24hMAX_perc	Lev24hMIN_perc	Lev7dMAX_perc	Lev7dMIN_perc
2896	2896.0	0.375	0.00046584	31423.0	54.0	-0.71	0.5	0.4689	0.0515	0.168	3.1478	2.181	-2.7348	7.245	-3.1406
2897	2897.0	0.3854	0.00046466	5179.0	24.0	-0.33	0.75	0.4042	0.2545	0.425	3.4097	2.4405	-2.4878	7.5173	-2.8946
2898	2898.0	0.3958	0.000465	3612.0	21.0	-0.35	0.68	0.4306	0.153	0.3295	3.3341	2.3656	-2.5591	7.4387	-2.9656
2899	2899.0	0.4062	0.00046529	24642.0	28.0	-0.49	0.61	0.4547	0.0373	0.2275	3.2697	2.3018	-2.6199	7.3717	-3.0261
2900	2900.0	0.4167	0.00046583	10245.0	36.0	-0.67	0.5	0.5005	-0.0902	0.0595	3.15	2.1832	-2.7328	7.2473	-3.1385
2901	2901.0	0.4271	0.00046495	5724.0	22.0	-0.49	0.69	0.4315	0.0801	0.1976	3.3452	2.3766	-2.5487	7.4503	-2.9552
2902	2902.0	0.4375	0.0004679	2773.0	18.0	-1.11	0.01	0.6306	-0.5028	-0.4346	2.6937	1.7311	-3.1631	6.7728	-3.567
2903	2903.0	0.4479	0.00046658	5043.0	8.0	-0.83	0.29	0.5331	-0.1766	-0.1407	2.9842	2.0189	-2.8891	7.0749	-3.2942
2904	2904.0	0.4583	0.00046572	8211.0	23.0	-0.65	0.47	0.4771	0.0046	0.0316	3.1744	2.2073	-2.7098	7.2726	-3.1156
2905	2905.0	0.4688	0.000466	21271.0	39.0	-0.71	0.69	0.4972	-0.0196	-0.0292	3.1124	2.1459	-2.7682	7.2082	-3.1738
2906	2906.0	0.4792	0.00046351	7181.0	30.0	-0.18	1.29	0.3555	0.4773	0.4538	3.6663	2.6947	-2.2459	7.7841	-2.6537
2907	2907.0	0.4896	0.00046489	23025.0	15.0	-0.47	0.99	0.4558	0.1683	0.1359	3.3586	2.3898	-2.5361	7.4641	-2.9426
2908	2908.0	0.5	0.0004641	38211.0	43.0	-0.3	1.17	0.4129	0.2922	0.2841	3.5345	2.5641	-2.3702	7.6471	-2.7774
2909	2909.0	0.5104	0.00046344	8064.0	38.0	-0.16	1.31	0.3782	0.3943	0.3887	3.682	2.7102	-2.2311	7.8004	-2.639
2910	2910.0	0.5208	0.00046562	8053.0	25.0	-0.54	0.84	0.5303	-0.1369	-0.0712	3.1965	2.2293	-2.6889	7.2956	-3.0948
2911	2911.0	0.5312	0.00046501	18198.0	53.0	-0.41	1.37	0.4911	-0.0481	0.048	3.3319	2.3634	-2.5612	7.4364	-2.9677
2912	2912.0	0.5417	0.00046638	22114.0	53.0	-0.71	1.08	0.5737	-0.324	-0.2213	3.0284	2.0627	-2.8475	7.1208	-3.2527
2913	2913.0	0.5521	0.00046322	10218.0	35.0	-0.0	1.77	0.3993	0.2809	0.4338	3.7312	2.7589	-2.1847	7.8516	-2.5927
2914	2914.0	0.5625	0.00046469	31219.0	51.0	-0.64	1.44	0.4844	-0.0046	0.1075	3.4031	2.4339	-2.4941	7.5104	-2.9009
